
2024/03/22 (20:59:38) | ===> btop++ v.1.3.2
2024/03/22 (20:59:38) | ERROR: Stall in Runner thread, restarting!

2024/04/08 (03:38:30) | ===> btop++ v.1.3.2
2024/04/08 (03:38:30) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/08 (03:38:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/08 (03:38:30) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/08 (03:38:30) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/08 (03:38:30) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/18 (03:50:51) | ===> btop++ v.1.3.2
2024/04/18 (03:50:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/18 (03:50:51) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/18 (03:50:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/18 (03:50:51) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/18 (03:50:51) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/18 (03:50:51) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/18 (11:18:31) | ===> btop++ v.1.3.2
2024/04/18 (11:18:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/18 (11:18:31) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/18 (11:18:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/18 (11:18:31) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/18 (11:18:31) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/18 (11:18:31) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/18 (19:13:05) | ===> btop++ v.1.3.2
2024/04/18 (19:13:05) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/18 (19:13:05) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/18 (19:13:05) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/18 (19:13:05) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/18 (19:13:05) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/18 (19:13:05) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/18 (20:39:05) | ===> btop++ v.1.3.2
2024/04/18 (20:39:05) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/18 (20:39:05) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/18 (20:39:05) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/18 (20:39:05) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/18 (20:39:05) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/18 (20:39:05) | WARNING: ROCm SMI: Failed to get PCIe throughput

